instruction,output
What is Rail Model?,"['The RAIL model is a performance optimization model for web applications that focuses on improving the perceived performance of a web page. It stands for Response, Animation, Idle, and Load, and it involves the following four performance goals: 1.Response: The time it takes for the web page to respond to user input should be under 100 milliseconds. 2.Animation: The time it takes for an animation to run should be under 10 milliseconds. 3.Idle: The web page should take advantage of idle time to perform non-critical tasks. 4.Load: The time it takes for the web page to fully load should be under 1 second. The RAIL model is designed to provide a framework for optimizing the performance of a web page by focusing on the four key areas that impact the user’s perception of performance. It is particularly useful for applications that require high levels of interactivity, such as games and social media applications.']"
What are Performance Metrics?,"['Web performance metrics are quantitative measures of the performance of a web page or application. They are used to assess the speed and efficiency of a web page, and they can help identify areas for improvement. Some common web performance metrics include: 1.Load time: The time it takes for a web page to fully load and become interactive. 2.First contentful paint (FCP): The time it takes for the first content to appear on the page. 3.Time to interactive (TTI): The time it takes for the page to become fully interactive. 4.First input delay (FID): The time it takes for the page to respond to the first user input. 5.Total blocking time (TBT): The time it takes for the page to become fully interactive, taking into account the time spent blocking the main thread. There are many tools and techniques available for measuring web performance metrics, including browser dev tools, performance monitoring tools, and web performance APIs. By tracking these metrics and analyzing the results, web developers can identify areas for improvement and optimize the performance of their web pages.']"
What is Using Lighthouse?,"['Lighthouse is an open-source tool developed by Google that is used to audit the performance, accessibility, and SEO of web pages. It is available as a browser extension and as a command-line tool, and it can be run on any web page to generate a report with recommendations for improvement. Lighthouse works by simulating the load and interaction of a web page and measuring various performance metrics, such as load time, time to first paint, and time to interactive. It also checks for common issues such as incorrect image sizes, missing alt text, and broken links. Lighthouse provides a comprehensive and easy-to-use tool for identifying and fixing performance and accessibility issues on web pages. It is widely used by web developers and is integrated into many popular development tools.']"
What is Using DEV Tools?,"['Most of the browsers have built-in developer tools that help you perform web development specific tasks on a webpage. My personal recommendation would be to use Chrome DevTools as it is the most advanced and has the most features. However, if you are using a different browser, you can still use the DevTools to debug your web application. Chrome DevTools is a set of web development tools built into the Google Chrome browser. It allows web developers to debug and optimize web pages by providing a range of features for inspecting and manipulating the page’s HTML, CSS, and JavaScript. Some of the features provided by Chrome DevTools include: 1.Elements panel: Inspect and modify the page’s HTML and CSS. 2.Console panel: View and debug JavaScript errors and log messages. 3.Network panel: Monitor network requests and responses, and analyze performance issues. 4.Performance panel: Analyze the performance of the page and identify bottlenecks. 5.Application panel: Inspect the page’s resources, such as cookies and local storage. Chrome DevTools is a powerful and essential tool for web developers, and it is widely used to debug and optimize web pages. It is constantly updated with new features and improvements, and it is available on all modern web browsers.']"
What is a static site generator?,"['A static site generator is a tool that generates a full static HTML website based on raw data and a set of templates. Essentially, a static site generator automates the task of coding individual HTML pages and gets those pages ready to serve to users ahead of time. Because these HTML pages are pre-built, they can load very quickly in users’ browsers.']"
What is Next.js?,['Next.js is an open-source development framework built on top of Node.js enabling React based web applications functionalities such as server-side rendering and generating static websites.']
What is Astro_p?,"['Astro is an all-in-one web framework for building fast, content-focused websites. Astro combines the power of a modern component-based framework with the performance and flexibility of a static site generator. 1.Component Islands: A new web architecture for building faster websites. 2.Server-first API design: Move expensive hydration off of your users’ devices. 3.Zero JS, by default: No JavaScript runtime overhead to slow you down. 4.Edge-ready: Deploy anywhere, even a global edge runtime like Deno or Cloudflare. 5.Customizable: Tailwind, MDX, and 100+ other integrations to choose from. 6.UI-agnostic: Supports React, Preact, Svelte, Vue, Solid, Lit and more.']"
What is Vuepress?,"['VuePress is composed of two parts: a minimalistic static site generator (opens new window)with a Vue-powered theming system and Plugin API, and a default theme optimized for writing technical documentation. It was created to support the documentation needs of Vue’s own sub projects.']"
What is Eleventy?,"['Eleventy (11ty) is a simple to use, easy to customize, highly performant and powerful static site generator with a helpful set of plugins (e.g. navigation, build-time image transformations, cache assets). Pages can be built and written with a variety of template languages (HTML, Markdown, JavaScript, Liquid, Nunjucks, Handlebars, Mustache, EJS, Haml, Pug or JS template literals). But it also offers the possibility to dynamically create pages from local data or external sources that are compiled at build time. It has zero client-side JavaScript dependencies.']"
What is Nuxt.js?,['Nuxt.js is an open-source development framework built on top of Node.js enabling Vue based web applications functionalities such as server-side rendering and generating static websites.']
What is Introduction to the topic?,"['A while back, developing a mobile app using JavaScript was impossible. But now JavaScript developers can create mobile applications using their knowledge for web development. Here is the list of options to create mobile applications in JavaScript.']"
What is Ionic?,"['Ionic framework is an open-source UI toolkit for building performant, high-quality mobile apps, desktop apps, and progressive web apps using web technologies such as HTML, CSS, and JavaScript.']"
What is React Native?,['React Native is a popular JavaScript-based mobile app framework that allows you to build natively-rendered mobile apps for iOS and Android. The framework lets you create an application for various platforms by using the same codebase.']
What is Flutter?,"['Flutter is a free and open-source mobile UI framework created by Google and released in May 2017. In a few words, it allows you to create a native mobile application with only one codebase. This means that you can use one programming language and one codebase to create two different apps (for iOS and Android). Flutter consists of two important parts: An SDK (Software Development Kit): A collection of tools that are going to help you develop your applications. This includes tools to compile your code into native machine code (code for iOS and Android). A Framework (UI Library based on widgets): A collection of reusable UI elements (buttons, text inputs, sliders, and so on) that you can personalize for your own needs. To develop with Flutter, you will use a programming language called Dart. The language was created by Google in October 2011, but it has improved a lot over these past years. Dart focuses on front-end development, and you can use it to create mobile and web applications. If you know a bit of programming, Dart is a typed object programming language. You can compare Dart’s syntax to JavaScript.']"
What are Desktop Applications in JavaScript?,"['A while back, developing a desktop app using JavaScript was impossible. But now JavaScript developers can create desktop applications using their knowledge for web development. Here is the list of options to create desktop applications in JavaScript.']"
What is Electron?,"['Electron allows you to build cross-platform desktop applications with HTML, CSS, and Javascript/Typescript. It uses Chromium and Node.js, so essentially it is a “Browser” like application that is compatible with Mac, Windows, and Linux.']"
What is Tauri?,"['Tauri is a toolkit that helps developers make applications for the major desktop platforms - using virtually any frontend framework in existence. The core is built with Rust, and the CLI leverages Node.js making Tauri a genuinely polyglot approach to creating and maintaining great apps.']"
What is Flutter?,"['Flutter is a free and open-source mobile UI framework created by Google and released in May 2017. In a few words, it allows you to create a native mobile application with only one codebase. This means that you can use one programming language and one codebase to create two different apps (for iOS and Android). Flutter consists of two important parts: An SDK (Software Development Kit): A collection of tools that are going to help you develop your applications. This includes tools to compile your code into native machine code (code for iOS and Android). A Framework (UI Library based on widgets): A collection of reusable UI elements (buttons, text inputs, sliders, and so on) that you can personalize for your own needs. To develop with Flutter, you will use a programming language called Dart. The language was created by Google in October 2011, but it has improved a lot over these past years. Dart focuses on front-end development, and you can use it to create mobile and web applications. If you know a bit of programming, Dart is a typed object programming language. You can compare Dart’s syntax to JavaScript.']"
Where do I learn TypeScript?,['Roadmap Linked: https://roadmap.sh/typescript']
Where do I learn Node.js?,['Roadmap Linked: https://roadmap.sh/nodejs']
Where do I learn full-stack?,['Roadmap Linked: https://roadmap.sh/full-stack']
What is Kotlin?,"Kotlin is a cross-platform, statically typed general-purpose programming language with type inference. Developed by JetBrains, the makers of the world’s leading IDEs, Kotlin has a syntax, which is more expressive and concise. This allows for more readable and maintainable code. It is fully interoperable with Java and comes with no limitations. It can be used almost everywhere Java is used today, for server-side development, Android apps, and much more. Kotlin introduces several improvements for programmers over Java, which makes it a preferred choice for many developers. With more concise code base and modern programming concept support - it’s certainly a future of Android app development. Context: https://www.w3schools.com/kotlin/, https://www.youtube.com/watch?v=EExSSotojVI, https://app.daily.dev/tags/kotlin?ref=roadmapsh"
What is Java?,"Java is a popular programming language used for Android development due to its robustness and ease of use. Its object-oriented structure allows developers to create modular programs and reusable code. The language was built with the philosophy of “write once, run anywhere” (WORA), meaning compiled Java code can run on all platforms without the need for recompilation. Android’s API and core libraries are primarily written in Java, therefore understanding Java is fundamental in creating diverse and powerful Android apps. Java is a statically-typed language, which can be beneficial for detecting errors at compile-time rather than at runtime. Oracle, who owns Java, provides comprehensive documentation and support for the language. Context: "
What is Development IDE?,"“Development IDE” refers to Development Integrated Development Environment that is vital for Android App development. For Android, the primary IDE is Android Studio. This official IDE from Google includes everything you need to build an Android app, such as a code editor, code analysis tools, emulators for all of Android’s supported OS versions and hardware configurations, and more. Other popular IDEs include Eclipse (with an Android Developer Tools plugin), NetBeans, and IntelliJ IDEA. Each of these IDEs tends to have its own set of specialized features, but all are designed to provide the tools and services needed for Android development. The choice of IDE often depends on the specific needs and preferences of the developer or development team. Context: "
What is Basics of Kotlin?,"Kotlin is a statically-typed programming language that runs on the Java Virtual Machine (JVM) and can be used to develop all types of Android apps. It is Google’s preferred language for Android app development. Kotlin’s syntax is more concise than Java, which means less code to write and read, and fewer opportunities for errors. It provides several high-level features like lambdas, coroutines and higher order functions that help making the code more clean and understandable. Key basics of Kotlin include control flow statements (if, when, for, while), variables (mutable and non-mutable), null safety, classes and objects, inheritance, interfaces, and exception handling. While learning Kotlin, experience with Java will certainly be helpful, but it’s not a prerequisite. Context: "
What is Basics of OOP?,"In Android development, understanding the Basics of Object-Oriented Programming (OOP) is crucial. OOP is a programming paradigm that uses “Objects” - entities that contain both data and functions that manipulate the data. Key concepts include Classes, which are blueprints from which objects are created; Objects, instances of a class; Inheritance, where one class acquires properties from another; Polymorphism, the ability of an object to take many forms; Abstraction, showing only necessary details and hiding implementation from the user; and Encapsulation, the concept of wrapping data and the methods that work on data within one unit. By understanding these fundamentals, you can create more efficient and effective Android apps. Context: "
What is DataStructures and Algorithms?,"In Android, data structures are primarily used to collect, organize and perform operations on the stored data more effectively. They are essential for designing advanced-level Android applications. Examples include Array, Linked List, Stack, Queue, Hash Map, and Tree. Meanwhile, algorithms are a sequence of instructions or rules for performing a particular task. In Android, algorithms can be used for data searching, sorting, or performing complex business logic. Some commonly used algorithms are Binary Search, Bubble Sort, Selection Sort, etc. A deep understanding of data structures and algorithms is crucial in optimizing the performance and the memory consumption of the Android applications. Context: "
What is What is and How to use Gradle??,"Using Gradle: Gradle is a powerful build system used in Android development that allows you to define your project and dependencies, and distinguish between different build types and flavors. Gradle uses a domain-specific language (DSL) which gives developers almost complete control over the build process. When you trigger a build in Android Studio, Gradle is the tool working behind the scenes to compile and package your app. It looks at the dependencies you declared in your build.gradle files and create a build script accordingly. Using Gradle in Android development requires continuous editing of the build.gradle files to manage app dependencies, build variants, signing configurations, and other essential aspects related to building your app. Context: https://assets.tomgregory.com/get-going-with-gradle/get-going-with-gradle-book.pdf, https://www.youtube.com/watch?v=-dtcEMLNmn0, https://www.youtube.com/watch?v=R6Z-Sxb837I, https://app.daily.dev/tags/gradle?ref=roadmapsh"
What is Create a basic Hello World App?,"The “Hello World” app is a simple project that you can build when you’re getting started with Android development. It’s often the first program that beginners learn to build in a new system. It’s usually considered the simplest form of program that displays a message to the user - “Hello, World!” In Android, this involves creating a new project from the Android Studio and setting up the main activity. The main activity file is primarily written in Java or Kotlin where you can code for the display message, while the layout design view can be created in the XML file. Context: https://developer.android.com/codelabs/basic-android-kotlin-compose-first-app"
What is Intro?,"Version Control is a system that records changes to a file or set of files over time so that you can recall specific versions later. An essential tool for software development, it helps to track changes, enhance collaboration, and manage different versions of a project. Two common types of version control systems are Centralized Version Control System (CVCS) and Distributed Version Control System (DVCS). CVCS uses a central server to store all versions of a project, with users getting snapshots from that server. Examples include SVN and Perforce. On the other hand, DVCS allows multiple developers to work on a single project simultaneously. Each user has a complete backup of all versions of the work. Examples include Git and Mercurial. Context: "
What is Git?,"Git is a highly efficient and flexible distributed version control system that was created by Linus Torvalds, the creator of Linux. It allows multiple developers to work on a project concurrently, providing tools for non-linear development and tracking changes in any set of files. Git has a local repository with a complete history and version-tracking capabilities, allowing offline operations, unlike SVN. It ensures data integrity and provides strong support for non-linear development with features such as branching and merging. Yet, Git has a high learning curve and can be complex for beginners to understand the command line interface. Furthermore, Git also allows you to create tags to reference certain points in your history for milestone or version releases. Context: "
What is GitHub?,"GitHub is a cloud-based hosting service for managing software version control using Git. It provides a platform for enabling multiple developers to work together on the same project at the same time. With GitHub, codes can be stored publicly, allowing for collaboration with other developers or privately for individual projects. Key features of GitHub include code sharing, task management, and version control, among others. GitHub also offers functionalities such as bug tracking, feature requests, and task management for the project. For Android development, it supports Gradle-based android projects, plugins for Android Studio and JetBrains IntelliJ IDEA, making version control operations more user-friendly. Context: "
What is BitBucket?,"Bitbucket is a web-based hosting service that is owned by Atlassian. Bitbucket uses either Mercurial or Git revision control systems, allowing users to manage and maintain their code. This platform is mainly used for code and code review. Bitbucket provides both commercial plans and free accounts. It offers free accounts with an unlimited number of private repositories (which can have up to five users in the case of free accounts) as of September 2010. It originally offered only Mercurial support. Bitbucket integrates with other Atlassian software like JIRA, HipChat, Confluence and Bamboo. Context: "
What is GitLab?,"Gitlab is a web-based DevOps lifecycle tool which provides a Git-repository manager, along with continuous integration and deployment pipeline features, using an open-source license, developed by GitLab Inc. Users can manage and create their software projects and repositories, and collaborate on these projects with other members. Gitlab also allows users to view analytics and open issues of their project. It stands next to other version control tools like GitHub and Bitbucket, but comes with its own set of additional features and nuances. For Android development, Gitlab can be particularly useful owing to its continuous integration and deployment system which can automate large parts of the app testing and deployment. Context: "
What is Intro?,"Android apps are primarily made up of five different types of components: Activities: These are individual screens that a user can interact with. Any UI action like touching a button or swiping a screen will usually take place within an activity. Services: Unlike activities, services run in the background and don’t have a user interface. They’re used for repetitive or long running operations, like playing music or pulling in a feed of data from a server. Broadcast Receivers: These are event listeners. The Android operating system uses them to respond to system-wide events. Content Providers: They manage and share app data with other apps installed on the device. For security, data is not generally shared across apps. Intents: These serve as messages or commands to the Android system. They’re used to signal to the Android system that certain events have occurred. Each app component is designed to serve different purposes and to have a well-defined lifecycle which defines how the component is created and destroyed Context: "
What is Intro to HTML?,"HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage which you can style using CSS and make interactive using JavaScript. Context: https://www.w3schools.com/html/html_intro.asp, https://www.youtube.com/watch?v=mJgBOIoGihA, https://www.youtube.com/watch?v=pQN-pnXPaVg, https://app.daily.dev/tags/html?ref=roadmapsh"
What is Intro to CSS?,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. Context: https://www.w3schools.com/css/, https://web.dev/learn/css/, https://www.youtube.com/watch?v=n4R2E7O-Ngo, https://www.youtube.com/watch?v=D-h8L5hgW-w, https://app.daily.dev/tags/css?ref=roadmapsh"
"What is Now that you have learnt HTML and CSS, you should be able to build static webpages. I recommend you to build as many test projects at each yellow step of the roadmap as possible to solidify what you learn?","The practice that I used to follow when I was learning was this: While you are watching a course or reading a book, make sure to code along with the instructor/author — pause the video at regular intervals and code what you are being taught. Search on YouTube and watch a few project based tutorials on the topic that you are learning. Apart from coding along with the instructor:Try to build the same project at least 2 to 3 times on your own without looking at the video. If you get stuck, refer to the section of the video where the instructor builds that part of the project. Build something else that is similar to the project that you just built. For example, if you just built a todo app, try to build a notes app or a reminder app. Context: 1. https://www.figma.com/design/nh0V05z3NB87ue9v5PcO3R/writings.dev?node-id=0-1&node-type=CANVAS, 2. https://cs.fyi/, 3. https://astro.build/showcase/"
What is Intro to JavaScript?,"JavaScript allows you to add interactivity to your pages. Common examples that you may have seen on the websites are sliders, click interactions, popups and so on. Context: https://roadmap.sh/javascript, https://javascript.info/, https://javascript30.com/, https://www.youtube.com/watch?v=hdI2bqOjy3c&t=2s, https://app.daily.dev/tags/javascript?ref=roadmapsh"
What is At this point you should be able to add interactivity to your web pages using JavaScript.?,"You should make sure that you have learnt the following: Know about variables, loops, data types, conditionals, functions. Know about arrays and objects and different ways to access their data. Know how to select DOM elements. Add event listeners to DOM elements (e.g. click, focus, form submission). Use JavaScript to add and remove DOM elements. Add and remove classes from DOM elements Use JavaScript to make HTTP requests to external APIs (i.e. fetch).  Use JavaScript to store data in the browser’s local storage Here are few ideas to practice your skills: Create a simple to-do list app that allows users to search, add, edit, and delete items. Use local storage to store the data. Create a simple webpage where user can put in anyone’s GitHub username and see their profile information. You can use GitHub’s API to fetch the data. For example, here is the sample URL to fetch my data. Make sure to add validation and error handling. Create a basic calculator app that allows users to perform basic arithmetic operations. Context: "
What is Intro to npm?,"npm is a package manager for the JavaScript programming language maintained by npm, Inc. npm is the default package manager for the JavaScript runtime environment Node.js. Context: https://github.com/workshopper/how-to-npm, https://peterxjang.com/blog/modern-javascript-explained-for-dinosaurs.html, https://nodesource.com/blog/an-absolute-beginners-guide-to-using-npm/, https://www.youtube.com/watch?v=2V1UUhBJ62Y, https://www.youtube.com/watch?v=jHDhaSSKmB0, https://app.daily.dev/tags/npm?ref=roadmapsh"
"What is At this point, you should be able to install and use external packages using npm.?","You probably know about npmjs.com[1] where you can search for packages and read their documentation. You should also be familiar with the package.json file and how to use it to manage your project dependencies. You don’t need to get into the module bundlers and build tools just yet. Just make sure that you are able to use the dependencies installed in the node_modules folder using simple link and script tags in your HTML. Regarding projects, here are a few ideas that you can try: Create a simple webpage that shows the current time of user. You can use dayjs[2] to get the current time and display it on the page. Here is the sample design for homepage.[3] Install the micromodal[4] library. Create a button on the page clicking which should open a modal and let the user select a timezone from a dropdown. Once the user selects a timezone, the modal should close and the time on the page should be updated to show the time in the selected timezone. Here is the sample design for the modal.[5] Context: 1. https://www.npmjs.com/, 2. https://day.js.org/, 3. https://imgur.com/yGIMGkr, 4. https://micromodal.vercel.app/#introduction, 5. https://imgur.com/a/vFY6Sdl"
What is Intro to Git?,"Git[1] is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency. Context: 1. https://git-scm.com/, https://www.atlassian.com/git, https://cs.fyi/guide/git-cheatsheet, https://www.youtube.com/watch?v=SWYqp7iY_Tc, https://www.youtube.com/watch?v=mJ-qvsxPHpY, https://app.daily.dev/tags/git?ref=roadmapsh"
What is Intro to GitHub?,"GitHub is a provider of Internet hosting for software development and version control using Git. It offers the distributed version control and source code management functionality of Git, plus its own features. Context: https://github.com/, https://docs.github.com/en/get-started/start-your-journey, https://ooloo.io/project/github-flow, https://www.youtube.com/watch?v=w3jLJU7DT5E, https://www.youtube.com/watch?v=wpISo9TNjfU, https://www.youtube.com/watch?v=RGOj5yH7evk, https://www.youtube.com/watch?v=eulnSXkhE7I, https://app.daily.dev/tags/github?ref=roadmapsh"
What is Now that you have learnt git and GitHub you should be ready to work with others. You should now setup your GitHub profile and push all the projects that you have built so far to your GitHub profile.?,Keep the repository names lowercase and use hyphens to separate words e.g. todo-app instead of TodoApp or Todo-App. Add a README.md file to each repository that you create. This file should contain a description of the project. Put some effort into the readme and make sure it clearly details what the project is about and how anyone can run it locally. Add snapshots of your project to the readme file so that anyone can see what the project looks like without having to run it locally. Add a LICENSE file to each repository that you create. This file should contain the license that you want to use for the project. You can use choosealicense.com[1] to help you choose a license. Context: 1. https://choosealicense.com/
What is Intro to Tailwind CSS?,"CSS Framework that provides atomic CSS classes to help you style components e.g. flex, pt-4, text-center and rotate-90 that can be composed to build any design, directly in your markup. Context: https://tailwindcss.com/, https://www.youtube.com/watch?v=lCxcTsOHrjo, https://www.youtube.com/watch?v=UBOj6rqRUME, https://www.youtube.com/watch?v=hdGsFpZ0J2E, https://www.youtube.com/c/TailwindLabs/videos, https://app.daily.dev/tags/tailwind-css?ref=roadmapsh"
What is Intro to React?,"React is the most popular front-end JavaScript library for building user interfaces. React can also render on the server using Node and power mobile apps using React Native. Context: https://roadmap.sh/react, https://react.dev/, https://react.dev/learn/tutorial-tic-tac-toe, https://www.youtube.com/watch?v=nTeuhbP7wdE, https://www.youtube.com/watch?v=bMknfKXIFA8, https://www.youtube.com/watch?v=i793Qm6kv3U, https://app.daily.dev/tags/react?ref=roadmapsh"
What is At this point you should be able to build a complete frontend application including: Structuring your webpages with HTML - Styling your webpages with CSS - Adding interactivity to your webpages with JavaScript - Using the DOM API to manipulate your webpages - Using the Fetch API to make HTTP requests - Understand promises and use async/await syntax to write asynchronous code - Installing and using external libraries with npm - Version controlling your code with Git - Pushing your code to GitHub?, Context: 
What is Intro to Node.js?,"Node.js is an open-source and cross-platform JavaScript runtime environment. It is a popular tool for almost any kind of project! Node.js runs the V8 JavaScript engine, Google Chrome’s core, outside the browser. This allows Node.js to be very performant. A Node.js app runs in a single process, without creating a new thread for every request. Node.js provides a set of asynchronous I/O primitives in its standard library that prevent JavaScript code from blocking and generally, libraries in Node.js are written using non-blocking paradigms, making blocking behavior the exception rather than the norm. Context: https://nodejs.org/en/about/, https://nodejs.org/en/learn/getting-started/introduction-to-nodejs, https://www.w3schools.com/nodejs/nodejs_intro.asp, https://www.youtube.com/watch?v=Oe421EPjeBE, https://app.daily.dev/tags/nodejs?ref=roadmapsh"
What is You should be able to build a CLI application that can: - Read and write files - Parse command line arguments - Make HTTP requests - Parse JSON - Use a third-party library (e.g. a library for parsing CSV files) - Use a third-party API?,"Here are some ideas for CLI applications you can build: Create a CLI application that takes a URL and a CSS selector arguments and prints the text content of the element that matches the selector. Hint you can use cheerio[1]. An application that optionally takes two dates and prints the most starred GitHub projects in that date range. Hint you can use GitHub’s search API[2]. Bulk rename files in a directory. Hint you can use fs[3] and path[4]. Write a CLI application that takes a path as input and compresses all the images in that directory. It should accept an option for output path; if the output path is not given it should compress images in place otherwise write the compressed images to the output path. Hint you can use sharp[5]. Context: 1. https://github.com/cheeriojs/cheerio, 2. https://docs.github.com/en/rest/search?apiVersion=2022-11-28#search-repositories, 3. https://nodejs.org/api/fs.html, 4. https://nodejs.org/api/path.html, 5. https://github.com/lovell/sharp"
What is Intro to PostgreSQL?,"PostgreSQL, also known as Postgres, is a free and open-source relational database management system emphasizing extensibility and SQL compliance. Context: https://roadmap.sh/postgresql-dba, https://www.postgresql.org/, https://www.postgresqltutorial.com/, https://www.youtube.com/watch?v=qw--VYLpxG4, https://www.youtube.com/watch?v=eMIxuk0nOkU, https://app.daily.dev/tags/postgresql?ref=roadmapsh"
What is Intro to CRUD?,"CRUD stands for Create, Read, Update, and Delete. These are the four basic operations you can perform on any data when working with web applications, databases, and APIs. Now that you know about programming language and the databases, you should be able to build a simple CLI application that interacts with database. We haven’t talked about the APIs yet but you don’t need an API to practice CRUD operations. Here are some of the CLI applications you can build to practice CRUD operations:  A simple todo list application for the CLI with the following options: --new to add a new todo item --list [all|pending|done] to list the todo items --done [id] to update a todo item --delete [id] to delete a todo item --help to list all the available options --version to print the version of the application Context: "
What is Intro to REST?,"REST, or REpresentational State Transfer, is an architectural style for providing standards between computer systems on the web, making it easier for systems to communicate with each other. Context: https://www.redhat.com/en/topics/api/what-is-a-rest-api, https://ics.uci.edu/~fielding/pubs/dissertation/rest_arch_style.htm, https://restapitutorial.com/"
What is Intro to JWT?,"WT stands for JSON Web Token is a token-based encryption open standard/methodology that is used to transfer information securely as a JSON object. Clients and Servers use JWT to securely share information, with the JWT containing encoded JSON objects and claims. JWT tokens are designed to be compact, safe to use within URLs, and ideal for SSO contexts. Context: https://jwt.io/, https://jwt.io/introduction, https://www.akana.com/blog/what-is-jwt, https://www.youtube.com/watch?v=7Q17ubqLfaM, https://www.youtube.com/watch?v=926mknSW9Lo, https://www.youtube.com/watch?v=mbsmsi7l3r4, https://app.daily.dev/tags/jwt?ref=roadmapsh"
What is Intro to Redis?,"Redis is an open source (BSD licensed), in-memory data structure store used as a database, cache, message broker, and streaming engine. Redis provides data structures such as strings[1], hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams. Redis has built-in replication, Lua scripting, LRU eviction, transactions, and different levels of on-disk persistence, and provides high availability via Redis Sentinel and automatic partitioning with Redis Cluster. Context: 1. https://redis.io/docs/latest/develop/data-types/#strings, https://redis.io/, https://www.youtube.com/watch?v=G1rOthIU-uo, https://www.youtube.com/watch?v=oaJq1mQ3dFI, https://app.daily.dev/tags/redis?ref=roadmapsh"
"What is At this point, you should have everything that you need to build a complete application that: Has a responsive frontend that users can interact with - Has a backend API that is secured with JWT authentication - Has a database that stores data?","At this point you should practice building as much as you can on your own to solidify your knowledge. If you need inspiration, here are some ideas: Build a simple blogging application where users can register, login, setup their blog and write posts. A single page site builder where users can pick a template, modify it and publish it. Hint you will need filesystem to store the design templates. Template files will have placeholders that you will need to replace with user data. Build a simple e-commerce application which will have two types of users i.e. Sellers who can: Register as Seller, Login, Setup their store, Add products, Edit products, Delete products, View Received Orders, Update Order Status (Pending, Shipped, Delivered), Buyers who can register, Login, Browse products by all sellers, Add products to cart, Checkout, View order history, View order status, Cancel order, View seller profile, View seller products Context: "
What is Intro to Linux / Unix?,"Knowledge of UNIX is a must for almost all kind of development as most of the codes that you write is most likely going to be finally deployed on a UNIX/Linux machine. Linux has been the backbone of the free and open source software movement, providing a simple and elegant operating system for almost all your needs. Context: https://www.coursera.org/courses?query=unix, https://dev.to/rudrakshi99/linux-basics-2onj, https://www.tutorialspoint.com/unix/index.htm, https://www.youtube.com/watch?v=ROjZy1WbCIA, https://app.daily.dev/tags/linux?ref=roadmapsh"
What is Intro Basics AWS Services?,"AWS has several services but you don’t need to know all of them. Some common ones that you can start with are EC2, VPN, S3, Route 53, and SES. Context: "
What is Intro to EC2?,"Amazon Elastic Compute Cloud (EC2) is a web service that provides resizable compute capacity in the form of virtual servers, known as instances. With EC2, you can quickly scale your infrastructure up or down as your computing requirements change. This service effectively reduces the time required to obtain and boot new server instances, allowing you to easily adjust capacity according to the needs of your application. Context: https://cs.fyi/guide/up-and-running-with-aws-ec2, https://cloudcasts.io/course/ec2-essentials, https://www.youtube.com/watch?v=oHAQ3TzUTro, https://app.daily.dev/tags/aws-ec2?ref=roadmapsh"
What is Intro to VPC?,"VPC stands for Virtual Private Cloud and is an essential service provided by AWS that allows you to create a private, isolated section within the AWS cloud, where you can define your own virtual network. It offers a more secure and controlled environment, enabling you to easily launch and manage your resources within your personal network. Context: https://cs.fyi/guide/up-and-running-with-aws-vpc, https://cloudcasts.io/course/vpc-basics, https://www.youtube.com/watch?v=TUTqYEZZUdc"
What is Intro to S3?,"S3 is a service that allows you to store files in the cloud. It’s a simple service that you can use to store files and serve them to your users. Context: https://www.youtube.com/watch?v=NZElg91l_ms, https://www.youtube.com/watch?v=RoY3ekCCxKc&list=PL0X6fGhFFNTcU-_MCPe9dkH6sqmgfhy_M, https://app.daily.dev/tags/aws-s3?ref=roadmapsh"
What is Intro to Route53?,"Route53[1] is AWS’s Domain Name System (DNS) service that plays a critical role in connecting user requests to your web application or other resources within your infrastructure. With Route53, you can easily manage domains, redirect traffic, and configure domain-related settings. It has several advantages, including high availability, low latency, and integration with other AWS resources. Context: 1. https://aws.amazon.com/route53/, https://www.youtube.com/watch?v=RGWgfhZByAI, https://www.youtube.com/watch?v=jDz4j_kkyLA, https://www.youtube.com/watch?v=yRIY7BJohfo&t=2s"
What is Intro to SES?,"Amazon SES (Simple Email Service) is a scalable, flexible, and cost-effective cloud-based email service that is specifically designed for developers, marketers, and businesses to send and receive marketing, transactional, and notification emails. SES is useful, especially when you need to send a large volume of emails, as it offers high deliverability, reliability, and ease of use. Context: https://www.youtube.com/watch?v=HiHflLTqiwU"
What is Getting start with deployment?,"Now that you know the basics of AWS, you should be able to deploy your application to AWS. You don’t need to use all the AWS services, here is what you can probably get started with: Setup an EC2 instance using any AMI (e.g. latest version of Ubuntu) - SSH into the EC2 instance using the key pair you created - Install Node.js on the EC2 instance - Install Git on the EC2 instance - Clone your application from GitHub - Install and configure database on the EC2 instance (e.g. PostgreSQL) - Make sure that the security group of the EC2 instance allows HTTP and HTTPS traffic - Try to access your application using the public IP address of the EC2 instance - Purchase or setup a domain name using Route53 (or any other domain name provider) and point it to the public IP address of the EC2 instance - Setup HTTPs using certbot[1] - And voilla! You have deployed your application to AWS! Context: 1. https://roadmap.sh/guides/setup-and-auto-renew-ssl-certificates, https://www.youtube.com/watch?v=oHAQ3TzUTro, https://app.daily.dev/tags/cicd?ref=roadmapsh"
